Year,Month,Day,Hour,Minute,Temperature,GHI
2018,1,16,14,0,24.8,0
2018,1,16,15,0,23.8,0
2018,1,16,16,0,23.1,0
2018,1,16,17,0,22.4,0
2018,1,16,18,0,21.9,0
2018,1,16,19,0,21.7,0
2018,1,16,20,0,21.6,0
2018,1,16,21,0,21.4,0
2018,1,16,22,0,21.2,0
2018,1,16,23,0,21,0
2018,1,17,0,0,20.8,0
2018,1,17,1,0,21.3,0
2018,1,17,2,0,23.5,91
2018,1,17,3,0,25.7,307
2018,1,17,4,0,27.8,517
2018,1,17,5,0,29.5,686
2018,1,17,6,0,30.7,780
2018,1,17,7,0,31.5,817
2018,1,17,8,0,31.7,779
2018,1,17,9,0,31.6,682
2018,1,17,10,0,30.8,514
2018,1,17,11,0,29.3,303
2018,1,17,12,0,26.4,87
2018,1,17,13,0,24.8,0
2018,1,17,14,0,23.8,0
2018,1,17,15,0,22.6,0
2018,1,17,16,0,21.5,0
2018,1,17,17,0,20.7,0
2018,1,17,18,0,20.1,0
2018,1,17,19,0,19.6,0
2018,1,17,20,0,19.1,0
2018,1,17,21,0,18.6,0
2018,1,17,22,0,18.2,0
2018,1,17,23,0,17.9,0
2018,1,18,0,0,17.6,0
2018,1,18,1,0,18.7,0
2018,1,18,2,0,21.9,128
2018,1,18,3,0,24.8,337
2018,1,18,4,0,27.1,583
2018,1,18,5,0,29,764
2018,1,18,6,0,30.5,881
2018,1,18,7,0,31.4,920
2018,1,18,8,0,31.9,787
2018,1,18,9,0,31.6,760
2018,1,18,10,0,30.7,579
2018,1,18,11,0,28.8,353
2018,1,18,12,0,24.9,120
2018,1,18,13,0,23,0
2018,1,18,14,0,21.9,0
2018,1,18,15,0,20.9,0
2018,1,18,16,0,20,0
2018,1,18,17,0,19.2,0
2018,1,18,18,0,18.5,0
2018,1,18,19,0,18,0
2018,1,18,20,0,17.7,0
2018,1,18,21,0,17.4,0
2018,1,18,22,0,17,0
2018,1,18,23,0,16.7,0
2018,1,19,0,0,16.5,0
2018,1,19,1,0,17.8,0
2018,1,19,2,0,21.1,125
2018,1,19,3,0,24,308
2018,1,19,4,0,26.1,576
2018,1,19,5,0,28,757
2018,1,19,6,0,29.4,820
2018,1,19,7,0,30.5,891
2018,1,19,8,0,31,847
2018,1,19,9,0,31,704
2018,1,19,10,0,30.3,531
2018,1,19,11,0,28.7,226
2018,1,19,12,0,25,27
2018,1,19,13,0,23.4,0
2018,1,19,14,0,22.5,0
2018,1,19,15,0,21.3,0
2018,1,19,16,0,20.3,0
2018,1,19,17,0,19.5,0
2018,1,19,18,0,18.8,0
2018,1,19,19,0,18.3,0
2018,1,19,20,0,17.9,0
2018,1,19,21,0,17.5,0
2018,1,19,22,0,17.1,0
2018,1,19,23,0,16.7,0
2018,1,20,0,0,16.5,0
2018,1,20,1,0,17.8,0
2018,1,20,2,0,21.3,124
2018,1,20,3,0,24.3,356
2018,1,20,4,0,26.4,528
2018,1,20,5,0,28.3,759
2018,1,20,6,0,29.9,808
2018,1,20,7,0,30.9,817
2018,1,20,8,0,31.5,646
2018,1,20,9,0,31.5,742
2018,1,20,10,0,30.8,577
2018,1,20,11,0,29.1,316
2018,1,20,12,0,25.1,60
2018,1,20,13,0,23.6,0
2018,1,20,14,0,22.6,0
2018,1,20,15,0,21.4,0
2018,1,20,16,0,20.4,0
2018,1,20,17,0,19.6,0
2018,1,20,18,0,19.1,0
2018,1,20,19,0,18.6,0
2018,1,20,20,0,18.1,0
2018,1,20,21,0,17.6,0
2018,1,20,22,0,17.2,0
2018,1,20,23,0,17,0
2018,1,21,0,0,16.7,0
2018,1,21,1,0,17.9,0
2018,1,21,2,0,21.3,125
2018,1,21,3,0,24.3,357
2018,1,21,4,0,26.5,582
2018,1,21,5,0,28.5,763
2018,1,21,6,0,30,855
2018,1,21,7,0,31,899
2018,1,21,8,0,31.5,862
2018,1,21,9,0,31.5,754
2018,1,21,10,0,30.7,571
2018,1,21,11,0,28.8,347
2018,1,21,12,0,25,115
2018,1,21,13,0,23.6,0
2018,1,21,14,0,22.9,0
2018,1,21,15,0,22.1,0
2018,1,21,16,0,21.4,0
2018,1,21,17,0,20.6,0
2018,1,21,18,0,19.9,0
2018,1,21,19,0,19.2,0
2018,1,21,20,0,18.6,0
2018,1,21,21,0,18,0
2018,1,21,22,0,17.6,0
2018,1,21,23,0,17.3,0
2018,1,22,0,0,17,0
2018,1,22,1,0,18.2,0
2018,1,22,2,0,21.6,122
2018,1,22,3,0,24.6,355
2018,1,22,4,0,27,533
2018,1,22,5,0,29.1,741
2018,1,22,6,0,30.6,845
2018,1,22,7,0,31.8,807
2018,1,22,8,0,32.3,855
2018,1,22,9,0,32.3,748
2018,1,22,10,0,31.6,567
2018,1,22,11,0,29.9,345
2018,1,22,12,0,25.5,115
2018,1,22,13,0,23.8,0
2018,1,22,14,0,23,0
2018,1,22,15,0,22.3,0
2018,1,22,16,0,21.4,0
2018,1,22,17,0,20.7,0
2018,1,22,18,0,20.3,0
2018,1,22,19,0,20.1,0
2018,1,22,20,0,19.6,0
2018,1,22,21,0,19.2,0
2018,1,22,22,0,18.9,0
2018,1,22,23,0,18.7,0
2018,1,23,0,0,18.5,0
2018,1,23,1,0,19.5,0
2018,1,23,2,0,22.3,118
2018,1,23,3,0,25,323
2018,1,23,4,0,27.1,528
2018,1,23,5,0,29,705
2018,1,23,6,0,30.5,764
2018,1,23,7,0,31.5,853
2018,1,23,8,0,32,844
2018,1,23,9,0,32,720
2018,1,23,10,0,31.6,545
2018,1,23,11,0,30.3,71
2018,1,23,12,0,27.2,7
2018,1,23,13,0,25.7,0
2018,1,23,14,0,24.7,0
2018,1,23,15,0,23.7,0
2018,1,23,16,0,22.8,0
2018,1,23,17,0,22,0
2018,1,23,18,0,21.4,0
2018,1,23,19,0,21.1,0
2018,1,23,20,0,21.2,0
2018,1,23,21,0,20.7,0
2018,1,23,22,0,20.2,0
2018,1,23,23,0,19.8,0
2018,1,24,0,0,19.5,0
2018,1,24,1,0,20.5,0
2018,1,24,2,0,23.2,101
2018,1,24,3,0,25.8,321
2018,1,24,4,0,27.6,531
2018,1,24,5,0,29.4,702
2018,1,24,6,0,30.7,803
2018,1,24,7,0,31.6,840
2018,1,24,8,0,31.8,800
2018,1,24,9,0,31.6,698
2018,1,24,10,0,31.2,528
2018,1,24,11,0,29.9,315
2018,1,24,12,0,27.1,95
2018,1,24,13,0,25.7,0
2018,1,24,14,0,24.9,0
2018,1,24,15,0,24,0
2018,1,24,16,0,23,0
2018,1,24,17,0,22.1,0
2018,1,24,18,0,21.5,0
2018,1,24,19,0,21.3,0
2018,1,24,20,0,20.9,0
2018,1,24,21,0,20.4,0
2018,1,24,22,0,20,0
2018,1,24,23,0,19.7,0
2018,1,25,0,0,19.5,0
2018,1,25,1,0,20.6,0
2018,1,25,2,0,23.6,106
2018,1,25,3,0,26.4,331
2018,1,25,4,0,28.9,546
2018,1,25,5,0,30.9,721
2018,1,25,6,0,32.4,823
2018,1,25,7,0,33.4,865
2018,1,25,8,0,33.9,826
2018,1,25,9,0,33.7,708
2018,1,25,10,0,33,536
2018,1,25,11,0,31.1,320
2018,1,25,12,0,27.2,99
2018,1,25,13,0,25.7,0
2018,1,25,14,0,24.7,0
2018,1,25,15,0,23.4,0
2018,1,25,16,0,22.3,0
2018,1,25,17,0,21.5,0
2018,1,25,18,0,20.9,0
2018,1,25,19,0,20.5,0
2018,1,25,20,0,20.1,0
2018,1,25,21,0,19.7,0
2018,1,25,22,0,19.3,0
2018,1,25,23,0,19,0
2018,1,26,0,0,18.6,0
2018,1,26,1,0,19.6,0
2018,1,26,2,0,22.7,108
2018,1,26,3,0,25.7,334
2018,1,26,4,0,28.3,553
2018,1,26,5,0,30.3,730
2018,1,26,6,0,31.8,848
2018,1,26,7,0,32.8,840
2018,1,26,8,0,33.2,850
2018,1,26,9,0,33.1,731
2018,1,26,10,0,32.3,526
2018,1,26,11,0,30.5,186
2018,1,26,12,0,26.2,112
2018,1,26,13,0,24.4,0
2018,1,26,14,0,23.4,0
2018,1,26,15,0,22.4,0
2018,1,26,16,0,21.6,0
2018,1,26,17,0,20.9,0
2018,1,26,18,0,20.3,0
2018,1,26,19,0,19.9,0
2018,1,26,20,0,19.6,0
2018,1,26,21,0,19.2,0
2018,1,26,22,0,18.9,0
2018,1,26,23,0,18.5,0
2018,1,27,0,0,18.2,0
2018,1,27,1,0,19.3,0
2018,1,27,2,0,22.4,100
2018,1,27,3,0,25.4,319
2018,1,27,4,0,27.8,529
2018,1,27,5,0,29.7,696
2018,1,27,6,0,31.2,821
2018,1,27,7,0,32.2,858
2018,1,27,8,0,32.7,825
2018,1,27,9,0,32.7,710
2018,1,27,10,0,32.1,539
2018,1,27,11,0,30.8,326
2018,1,27,12,0,27.3,105
2018,1,27,13,0,25.8,0
2018,1,27,14,0,25,0
2018,1,27,15,0,24,0
2018,1,27,16,0,23.1,0
2018,1,27,17,0,22.3,0
2018,1,27,18,0,21.6,0
2018,1,27,19,0,21,0
2018,1,27,20,0,20.4,0
2018,1,27,21,0,20,0
2018,1,27,22,0,19.7,0
2018,1,27,23,0,19.5,0
2018,1,28,0,0,19.4,0
2018,1,28,1,0,20.3,0
2018,1,28,2,0,22.8,94
2018,1,28,3,0,25.3,313
2018,1,28,4,0,27.2,526
2018,1,28,5,0,28.7,693
2018,1,28,6,0,29.7,785
2018,1,28,7,0,30.5,823
2018,1,28,8,0,31,787
2018,1,28,9,0,31.1,693
2018,1,28,10,0,30.7,525
2018,1,28,11,0,29.5,316
2018,1,28,12,0,26.7,100
2018,1,28,13,0,25.4,0
2018,1,28,14,0,24.7,0
2018,1,28,15,0,23.7,0
2018,1,28,16,0,22.8,0
2018,1,28,17,0,21.9,0
2018,1,28,18,0,21.3,0
2018,1,28,19,0,20.8,0
2018,1,28,20,0,20.6,0
2018,1,28,21,0,20.3,0
2018,1,28,22,0,20,0
2018,1,28,23,0,19.7,0
2018,1,29,0,0,19.4,0
2018,1,29,1,0,20.4,0
2018,1,29,2,0,23,109
2018,1,29,3,0,25.4,336
2018,1,29,4,0,27.8,558
2018,1,29,5,0,30,742
2018,1,29,6,0,31.7,877
2018,1,29,7,0,32.9,920
2018,1,29,8,0,33.4,883
2018,1,29,9,0,33.3,769
2018,1,29,10,0,32.6,590
2018,1,29,11,0,31,367
2018,1,29,12,0,27.1,131
2018,1,29,13,0,25.5,0
2018,1,29,14,0,25,0
2018,1,29,15,0,24.2,0
2018,1,29,16,0,23.4,0
2018,1,29,17,0,22.7,0
2018,1,29,18,0,22,0
2018,1,29,19,0,21.3,0
2018,1,29,20,0,20.6,0
2018,1,29,21,0,19.9,0
2018,1,29,22,0,19.4,0
2018,1,29,23,0,19.1,0
2018,1,30,0,0,18.8,0
2018,1,30,1,0,19.8,0
2018,1,30,2,0,22.8,108
2018,1,30,3,0,25.8,310
2018,1,30,4,0,28.6,586
2018,1,30,5,0,31,764
2018,1,30,6,0,32.6,884
2018,1,30,7,0,33.7,927
2018,1,30,8,0,34.2,892
2018,1,30,9,0,34.1,780
2018,1,30,10,0,33.3,603
2018,1,30,11,0,31.7,378
2018,1,30,12,0,27.7,140
2018,1,30,13,0,25.7,0
2018,1,30,14,0,24.6,0
2018,1,30,15,0,23.2,0
2018,1,30,16,0,22.1,0
2018,1,30,17,0,21.3,0
2018,1,30,18,0,20.6,0
2018,1,30,19,0,20.1,0
2018,1,30,20,0,19.6,0
2018,1,30,21,0,19.3,0
